V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140
47	S	S	S	S	M	X	A	X	M	S	S	S	M	M	S	M	M	M	M	X	M	A	S	M	X	M	A	X	X	A	A	A	A	A	M	M	M	M	S	A	M	X	M	A	S	X	S	X	S	S	S	S	M	S	M	X	M	A	S	X	X	A	S	M	A	M	S	M	X	M	A	M	A	M	M	M	M	S	A	A	M	A	M	A	S	M	A	M	X	M	X	M	X	M	A	M	A	A	A	M	A	M	M	M	A	X	A	X	M	X	S	M	M	X	M	A	S	X	M	X	S	A	M	M	M	M	X	A	M	X	X	M	M	X	A	A	X	A	A	X
48	A	M	A	M	X	M	M	S	X	M	A	X	A	A	M	A	A	X	S	A	M	X	M	X	X	S	M	M	S	M	M	M	M	M	X	X	A	X	S	M	S	M	S	A	A	M	M	M	M	M	A	X	A	S	M	M	M	A	M	X	M	A	S	M	A	M	X	M	A	M	M	X	S	X	A	A	M	M	M	X	S	A	M	X	S	X	M	M	X	S	M	S	A	S	M	S	X	S	X	M	A	X	A	S	A	M	X	M	M	A	X	X	X	A	M	A	M	A	M	A	S	A	M	A	A	X	S	S	M	M	M	X	M	S	M	X	M	M	M	M
49	M	M	A	M	X	S	A	A	A	M	A	M	M	M	S	S	M	X	S	A	M	S	A	M	X	S	X	M	X	A	X	A	S	X	S	S	M	X	M	A	S	A	M	M	M	M	A	X	X	M	A	M	M	M	A	S	A	X	S	A	M	X	X	M	A	X	A	M	A	M	S	A	M	S	S	S	S	X	M	A	S	A	S	A	S	A	M	X	X	X	A	X	A	S	A	A	M	M	X	M	S	S	M	M	X	M	A	S	M	S	A	S	X	X	M	A	S	X	M	A	S	A	M	S	M	X	A	A	A	X	S	A	M	A	A	A	S	A	S	M
50	X	S	M	S	A	M	S	S	S	M	A	S	X	A	A	A	X	A	X	M	A	S	X	M	X	M	A	M	S	S	M	M	S	A	A	A	X	A	M	A	M	A	M	M	X	S	A	S	X	M	M	S	X	M	A	M	M	X	X	X	M	A	M	X	S	S	M	S	A	S	M	A	M	A	M	A	X	X	M	A	S	X	M	A	S	X	M	A	X	M	S	M	A	M	M	M	X	X	A	M	X	A	X	S	A	M	X	X	A	A	A	A	M	S	S	X	X	A	M	A	S	A	M	A	M	M	M	M	S	M	S	A	S	M	S	M	M	A	S	A
51	M	M	A	M	A	M	A	M	X	M	A	S	M	M	S	S	M	M	M	S	A	S	A	S	A	S	A	M	X	M	A	S	M	M	M	M	S	M	S	A	S	A	M	X	A	M	A	X	X	A	A	M	M	S	M	M	X	S	M	M	X	A	S	A	A	A	X	M	X	S	M	S	M	A	M	S	S	M	M	M	S	A	M	X	M	M	M	X	M	A	A	M	X	M	X	M	S	A	M	X	M	M	M	X	A	M	S	M	S	S	M	M	A	X	M	M	M	M	A	M	S	X	M	A	S	A	X	M	A	A	S	X	M	A	M	A	M	S	M	M
52	A	M	A	M	X	M	M	S	M	S	A	X	A	M	A	A	A	S	A	M	X	M	A	X	M	X	A	S	X	S	X	M	A	X	S	X	S	A	X	A	X	A	X	M	S	S	M	M	S	M	M	S	A	A	A	X	A	X	A	A	X	A	X	M	S	M	M	M	A	S	X	M	S	X	X	M	A	A	S	A	M	M	X	S	A	A	A	S	M	S	M	X	S	A	S	A	X	A	A	M	A	X	M	M	S	S	X	A	A	M	A	X	S	X	S	A	A	X	A	M	M	M	S	X	S	X	S	S	M	M	M	M	M	S	M	S	M	A	A	A
53	M	M	X	S	X	S	X	M	A	M	A	M	S	M	M	X	M	M	S	S	S	M	S	M	M	S	A	M	A	S	X	S	A	M	M	A	M	X	M	M	S	S	M	A	A	A	A	A	M	A	S	M	M	X	S	M	M	S	X	M	X	S	M	M	A	A	M	M	M	S	A	M	X	S	M	S	S	M	M	A	S	X	X	S	M	M	M	S	A	M	A	M	M	A	S	M	S	M	S	S	M	X	M	A	M	A	M	X	M	S	A	M	X	X	S	S	S	S	X	S	A	A	X	M	M	A	A	M	M	M	A	M	M	M	A	M	M	S	X	M
54	X	S	X	M	M	S	A	M	M	M	S	A	M	X	S	A	X	X	A	M	A	A	X	A	M	M	M	M	M	X	A	S	X	S	M	A	M	M	M	M	A	A	A	M	S	S	M	M	M	X	M	A	S	X	X	A	A	M	A	X	A	A	A	S	X	M	M	A	M	M	A	M	A	M	M	A	A	A	S	X	M	M	M	S	A	S	A	M	X	M	S	M	M	A	M	X	X	A	A	A	M	S	M	M	X	S	A	M	X	X	M	X	M	M	M	M	M	A	X	X	M	M	S	A	M	X	M	M	A	S	A	M	X	M	A	M	A	M	M	M
55	A	X	A	M	A	S	A	M	X	A	M	A	S	A	A	S	A	M	X	S	S	M	M	X	M	A	S	M	M	M	A	M	A	A	M	M	X	S	A	A	S	X	M	M	A	M	A	S	X	M	M	A	A	X	S	M	M	X	A	M	S	X	M	M	A	S	X	X	S	S	M	M	S	X	M	M	S	M	M	X	M	A	A	M	X	M	X	M	X	M	M	A	M	S	S	M	M	S	M	S	M	X	A	A	A	M	M	A	M	A	S	A	M	A	A	A	A	M	S	X	S	X	S	A	S	X	M	S	M	S	A	S	X	M	X	S	A	M	A	M
56	S	S	M	M	X	S	A	M	X	X	S	A	M	X	M	A	X	A	A	A	A	X	S	X	S	A	S	M	X	M	A	M	A	M	X	X	A	M	M	X	X	A	M	M	X	S	A	X	M	A	M	A	M	M	M	S	S	M	M	M	A	A	S	M	M	M	M	A	M	X	A	A	M	A	S	A	X	X	M	A	S	M	S	S	X	S	S	M	X	S	S	M	M	A	A	A	A	X	X	M	A	M	M	M	M	M	S	S	M	A	S	A	S	X	S	M	S	A	M	A	M	M	M	M	M	M	M	A	X	S	A	M	X	X	X	M	A	S	A	M
57	X	A	M	S	X	S	A	S	X	A	M	X	M	S	X	M	X	M	M	M	M	X	M	X	M	A	M	A	A	S	X	M	X	M	A	M	M	S	M	M	S	A	M	M	M	M	M	S	S	X	M	X	X	S	A	A	X	A	X	M	X	X	M	A	S	A	M	S	M	S	M	M	M	A	M	A	S	A	X	A	X	A	A	A	M	A	M	X	A	X	A	M	S	S	S	M	X	S	X	S	A	S	M	S	M	M	A	A	M	A	S	M	M	A	X	A	A	M	M	A	M	S	S	X	X	A	X	M	M	M	A	M	S	A	M	X	X	S	A	S
58	S	M	M	X	A	S	A	M	M	M	M	M	A	X	A	A	X	X	A	A	X	A	S	M	M	S	X	S	A	S	X	S	A	M	A	M	M	A	X	X	S	A	M	A	A	X	X	X	A	M	X	M	M	M	M	M	S	M	M	S	M	X	S	M	M	A	A	M	A	S	X	S	M	S	S	M	S	X	M	S	S	S	M	M	A	M	M	M	A	S	M	M	M	A	X	M	A	M	A	M	A	S	A	A	M	M	S	X	M	M	S	A	M	S	M	X	M	X	M	A	S	A	A	A	M	S	S	M	M	S	M	M	A	S	A	X	X	S	A	M
59	X	A	A	M	X	M	S	M	A	A	A	M	M	S	A	M	X	S	S	X	S	A	S	A	A	X	M	M	A	M	X	S	A	S	A	S	X	M	M	M	S	A	S	X	S	S	M	M	S	A	A	X	X	A	M	X	X	X	A	A	X	M	X	X	M	X	M	M	A	M	M	A	A	A	A	X	X	A	X	M	A	M	X	X	M	S	S	M	A	S	A	A	M	M	M	M	A	S	A	M	M	M	X	M	M	A	M	A	S	M	S	X	M	X	A	X	X	A	A	X	M	M	M	M	S	A	A	M	A	A	A	M	A	M	X	M	A	M	M	M
60	S	M	M	S	A	A	A	X	S	S	S	S	M	S	A	M	X	X	A	A	X	A	S	M	M	M	A	X	S	M	M	S	X	M	A	M	A	X	A	A	S	A	M	A	M	X	M	A	X	S	S	S	S	S	S	S	S	M	M	S	A	M	M	X	M	A	M	M	M	M	A	M	M	M	X	A	M	S	M	M	A	M	M	S	M	A	A	M	A	S	M	M	M	A	A	S	X	S	A	S	X	A	M	X	M	A	S	X	M	A	M	M	M	S	M	M	S	M	S	M	X	X	X	M	A	M	M	M	S	S	X	M	M	X	A	M	S	M	A	M
61	M	A	A	S	M	S	M	X	M	A	A	A	M	S	A	M	X	M	M	M	M	M	M	X	M	M	X	M	A	A	X	M	M	M	M	S	M	M	M	M	S	A	M	S	M	S	M	M	X	A	M	A	X	A	A	X	X	A	A	X	M	A	A	A	M	A	M	X	M	A	M	X	M	S	M	S	M	X	A	S	X	M	A	A	M	S	S	M	A	S	X	S	S	S	X	S	X	S	M	M	M	M	S	X	M	A	S	M	M	A	M	X	A	M	A	M	X	M	X	M	M	X	S	A	M	X	M	X	A	M	X	M	A	X	X	X	A	A	A	S
62	S	M	M	S	A	M	M	A	M	S	S	M	M	S	X	M	A	M	A	A	A	A	A	A	M	A	A	A	S	A	M	X	A	A	A	A	A	A	A	M	S	X	M	A	A	A	A	X	S	A	M	X	M	M	M	M	M	M	M	S	X	M	X	X	S	A	S	M	X	S	X	A	A	X	A	X	X	M	X	M	M	M	S	S	X	M	X	M	A	S	A	M	X	X	M	X	M	M	M	S	X	S	M	M	M	X	S	X	S	A	S	M	A	S	X	M	A	S	A	M	M	A	M	X	X	M	A	S	A	S	M	X	M	A	S	X	S	S	M	S
63	X	X	S	M	A	M	S	S	M	M	A	A	X	X	A	M	X	S	S	S	S	M	S	S	S	S	X	X	M	S	X	X	M	M	S	S	S	S	S	M	X	X	M	M	S	M	S	M	X	M	A	S	M	S	A	X	M	A	M	S	A	S	A	X	M	A	S	M	A	M	S	S	M	M	X	M	X	S	M	X	X	A	A	M	M	M	A	M	X	M	A	M	X	M	A	A	X	A	A	M	M	S	X	A	X	A	S	X	S	A	S	M	X	M	A	S	M	S	M	S	A	M	X	M	A	S	X	M	A	M	X	A	X	A	S	A	M	A	A	X
64	M	M	M	M	M	M	X	M	A	S	X	M	M	S	X	M	X	A	M	X	A	X	X	X	A	A	X	A	A	X	M	X	S	A	M	A	A	M	M	A	M	M	S	A	M	X	A	A	X	M	X	S	A	S	A	S	M	A	X	S	A	M	M	M	S	A	M	M	S	M	A	X	M	A	S	M	A	A	A	X	M	M	X	S	A	S	X	S	X	S	A	M	A	M	M	S	S	M	X	S	A	M	S	S	M	A	S	M	M	M	X	X	M	S	X	M	A	X	A	M	A	M	A	M	M	X	M	M	S	M	M	X	M	X	S	A	X	M	M	M
65	S	A	S	A	X	M	M	S	A	M	A	A	A	A	A	S	M	S	S	S	M	M	X	M	M	S	A	M	X	M	A	M	M	A	M	M	M	M	S	A	M	M	A	M	A	S	M	S	M	M	A	M	A	M	X	M	M	M	M	M	A	M	A	A	M	A	M	S	A	M	X	S	X	A	A	M	A	S	M	M	X	A	A	M	X	S	A	M	A	S	X	S	A	S	A	M	X	M	X	M	M	M	A	X	M	M	M	X	S	M	M	X	X	X	A	M	X	M	X	M	A	S	M	S	M	X	M	A	A	X	X	A	M	X	M	A	M	S	A	M
66	S	A	S	A	X	S	A	M	X	X	M	M	M	S	S	M	A	A	A	M	X	A	S	A	A	A	M	X	S	M	S	M	S	S	M	S	X	X	X	A	M	X	A	S	X	S	X	A	A	S	A	S	A	M	M	S	A	S	A	S	A	M	M	S	S	M	M	M	M	M	A	X	M	X	M	S	A	M	X	A	M	M	M	S	A	M	X	M	A	M	X	A	A	M	A	S	A	S	A	M	S	M	S	X	S	A	S	M	S	A	A	S	M	S	M	A	A	A	A	S	X	M	M	A	A	S	M	M	S	A	X	A	X	A	M	A	M	X	A	X
67	M	M	M	A	M	M	A	S	A	M	S	A	M	X	A	M	M	M	M	M	M	S	A	A	M	S	X	M	A	A	X	X	A	A	A	X	M	S	S	S	M	S	X	S	A	M	X	M	X	S	X	S	X	S	X	S	A	S	M	S	A	S	A	A	A	M	X	S	X	M	M	S	M	S	M	S	M	S	M	X	S	A	M	X	M	S	X	M	A	S	A	M	A	M	X	S	A	S	A	A	X	A	M	X	S	A	S	A	S	M	M	M	A	A	M	S	S	S	M	M	A	A	S	A	M	M	A	S	X	M	M	X	S	A	S	X	S	S	S	M
68	S	S	M	M	M	S	M	M	A	M	X	A	M	X	A	M	S	A	M	M	M	M	M	A	A	X	M	S	M	S	M	M	S	A	M	X	X	A	A	A	X	S	A	S	M	M	A	M	M	S	M	M	A	S	A	M	X	M	X	X	X	M	M	S	M	M	A	A	X	M	S	X	A	A	A	M	X	X	M	A	M	X	S	M	X	X	A	S	A	M	A	S	A	M	X	M	A	S	X	M	M	M	M	M	M	M	M	M	M	A	X	S	S	S	M	X	A	M	X	X	S	M	X	A	A	M	X	M	A	S	A	M	S	A	M	X	A	A	M	X
69	X	A	A	M	X	A	M	M	S	M	S	S	M	A	X	A	X	A	X	A	A	A	X	X	X	X	A	A	A	A	X	M	M	M	X	S	M	M	X	M	X	M	A	M	S	S	X	S	A	S	A	M	A	M	A	M	A	M	M	S	M	S	A	X	A	M	X	S	M	M	M	X	X	M	S	M	A	M	M	X	M	A	M	A	X	S	X	M	A	S	A	M	A	S	X	S	M	M	X	M	A	A	A	A	S	X	S	X	S	M	M	A	M	M	M	M	A	M	M	A	M	A	S	M	X	M	X	S	A	M	A	M	M	X	M	M	M	M	M	S
70	S	M	M	M	S	A	S	A	X	M	A	M	X	A	M	M	S	M	M	S	S	S	S	M	M	S	S	M	S	M	M	M	A	M	A	X	X	M	A	S	M	M	A	M	X	X	A	M	A	S	X	M	S	S	M	S	X	S	A	A	X	M	A	S	M	X	A	X	A	A	M	M	M	M	M	M	S	S	M	S	M	S	X	S	A	M	A	S	A	M	X	S	A	M	X	M	A	A	A	S	X	S	S	M	X	A	S	M	A	M	A	M	X	A	A	X	X	M	X	X	M	A	M	X	A	A	X	M	M	S	M	M	M	A	X	A	A	X	X	A
71	M	A	A	A	S	M	M	M	S	M	A	S	X	M	A	X	A	A	A	A	A	X	A	A	M	A	A	M	M	A	X	S	A	M	M	X	M	M	X	A	A	X	A	S	X	S	A	M	A	M	A	X	X	A	X	A	A	M	X	S	M	M	A	M	A	M	S	S	S	X	S	A	A	X	A	A	A	A	M	M	A	A	A	X	M	S	A	M	X	S	X	M	A	M	X	S	M	M	M	A	M	M	X	X	M	A	M	X	A	M	X	X	M	S	S	S	S	M	S	X	M	M	M	M	M	M	X	A	A	X	M	A	S	X	S	S	M	S	S	M
72	A	S	M	X	X	A	S	X	X	M	A	S	X	A	X	S	M	S	M	S	S	S	S	M	M	X	X	M	M	M	M	S	A	X	M	A	S	M	S	S	S	S	X	S	A	S	A	S	X	S	M	M	S	M	M	M	M	M	M	M	A	M	X	S	M	X	X	A	M	X	M	M	S	M	M	S	S	S	M	M	M	M	S	M	X	S	A	M	X	X	M	A	S	X	M	M	X	M	A	S	M	M	A	X	M	A	M	S	S	S	S	M	A	X	M	A	A	A	M	X	S	A	A	A	S	X	S	M	M	M	X	M	S	X	A	A	X	A	A	X
73	X	M	M	M	M	A	M	M	A	M	X	X	X	S	X	S	A	A	A	A	X	M	A	X	X	S	X	S	A	S	A	M	X	X	S	A	S	A	A	A	A	X	A	M	A	S	A	M	M	M	X	M	X	S	M	X	M	A	A	M	S	S	X	M	X	S	M	A	M	X	M	A	M	X	M	A	A	A	M	X	A	A	A	X	M	M	M	S	S	M	X	A	X	M	A	M	A	M	A	X	A	M	X	M	A	S	A	X	A	A	A	X	M	X	M	M	M	M	M	A	S	M	S	S	S	M	X	M	A	S	A	A	S	M	S	M	M	S	S	M
74	M	S	A	S	M	S	M	X	S	M	S	X	A	X	A	M	M	M	S	M	M	S	S	M	S	A	A	X	M	X	A	X	M	A	M	X	X	M	M	S	M	M	S	M	A	M	M	M	A	X	X	X	M	A	S	A	S	M	X	S	A	M	A	X	A	M	M	M	M	X	M	A	S	A	S	M	S	M	M	S	M	S	S	S	M	A	A	A	A	A	M	X	S	X	S	S	S	S	M	M	S	M	A	X	A	M	A	A	M	S	M	M	S	M	M	X	M	A	M	A	M	A	M	A	M	A	A	M	A	S	M	X	S	A	A	X	A	X	A	A
75	A	M	A	M	A	M	S	M	M	A	S	M	M	M	M	M	A	A	X	X	A	A	A	M	X	M	M	X	S	M	M	M	S	M	M	M	M	S	A	A	X	X	X	M	S	S	X	S	S	S	M	M	X	A	S	M	X	A	M	M	A	S	M	M	M	S	A	A	X	A	M	M	S	A	M	M	A	X	A	X	M	A	X	A	M	M	M	S	S	M	X	M	M	M	A	M	X	A	A	A	M	M	S	M	X	X	M	M	X	M	M	X	A	A	X	S	S	M	M	M	S	A	M	S	X	S	M	M	A	X	X	A	M	M	M	X	M	M	M	S
76	S	M	A	M	M	M	A	M	M	A	M	A	A	A	A	S	M	S	S	M	M	M	M	M	X	X	X	X	X	A	S	A	S	X	S	A	A	M	M	S	M	S	X	A	X	A	M	M	X	A	M	X	S	X	M	X	S	A	X	M	X	M	X	A	S	M	X	S	M	M	S	A	M	X	M	X	A	M	M	X	M	S	X	S	M	X	X	X	A	M	X	M	A	X	A	M	S	M	M	M	S	A	X	X	M	M	S	A	X	A	S	X	M	S	M	X	A	A	A	A	S	A	M	X	M	X	A	M	A	S	M	S	S	M	M	S	A	A	M	M
77	A	S	X	S	A	S	X	M	M	M	M	S	M	S	M	S	A	M	M	M	S	A	M	M	X	M	X	X	S	A	M	A	S	X	M	M	X	S	A	X	X	M	M	X	M	A	M	X	S	M	M	A	X	A	A	A	M	M	M	M	S	M	S	S	S	M	A	M	A	A	M	M	M	X	S	M	X	X	S	A	A	A	A	X	X	S	X	S	A	M	X	S	S	S	M	M	A	M	X	X	S	A	M	A	S	A	M	X	M	A	M	X	X	M	X	X	M	M	M	M	S	A	S	X	A	S	X	M	M	A	X	A	A	A	A	S	X	M	M	M
78	M	M	M	S	M	S	A	S	X	M	A	X	X	X	A	M	X	M	A	A	M	A	S	M	A	A	A	A	M	A	M	X	M	X	M	A	M	X	A	M	A	X	S	M	S	S	S	M	A	A	M	X	S	M	M	M	M	M	A	M	A	A	M	A	M	M	A	M	M	X	M	S	M	M	M	S	A	A	S	M	M	M	X	M	A	A	M	S	X	S	X	M	A	A	M	S	A	M	S	A	M	A	S	X	M	A	S	A	M	S	S	S	S	X	S	M	M	A	M	X	S	A	M	X	M	A	X	M	X	X	A	S	M	M	M	S	M	S	A	X
79	A	S	A	M	X	S	M	M	A	M	A	S	A	M	X	M	M	M	M	M	S	A	M	M	S	M	M	S	S	S	M	S	X	X	M	A	S	M	M	M	X	M	X	A	A	A	A	X	S	M	M	M	X	M	A	A	A	S	M	S	M	S	M	A	X	M	X	X	X	A	A	A	A	A	A	M	M	X	M	X	A	X	A	M	M	M	A	M	M	S	A	M	S	A	M	X	M	X	M	A	S	X	M	A	S	M	M	X	S	A	A	A	M	A	S	M	A	S	X	M	M	S	X	S	M	M	X	S	A	M	M	M	X	M	M	X	A	X	X	M
80	S	S	M	S	A	S	X	S	M	M	A	M	A	M	A	M	A	S	M	A	M	X	S	A	X	A	X	M	X	M	A	X	M	A	X	A	M	A	A	A	A	M	M	M	M	S	M	X	M	X	A	X	A	M	M	X	X	S	A	A	A	M	X	M	M	M	S	M	S	S	S	S	S	M	S	S	S	S	X	S	A	S	M	S	A	A	X	S	A	S	A	M	X	M	X	A	S	X	S	A	M	X	M	A	S	X	S	X	M	M	S	M	M	A	M	X	A	X	A	S	A	M	X	M	A	A	A	X	A	M	M	S	X	M	S	S	M	M	S	S
81	M	M	A	M	A	S	A	M	X	M	X	S	M	M	X	S	A	M	M	A	S	M	M	M	S	M	M	S	A	M	X	M	M	S	M	A	S	M	M	S	X	S	A	A	M	M	X	M	A	S	M	S	M	X	A	S	X	M	M	M	A	M	A	M	A	X	A	A	A	A	A	A	M	X	M	A	X	A	M	S	A	A	A	S	M	S	A	M	X	S	A	M	X	A	M	S	A	M	X	A	X	A	M	A	M	A	M	S	A	M	X	X	M	A	S	M	S	S	M	M	A	S	M	S	M	M	M	S	A	M	X	M	M	M	A	A	A	A	A	A
82	S	M	A	M	M	M	M	M	A	M	X	X	M	A	M	M	A	S	M	X	S	A	M	X	S	A	A	S	A	M	A	X	A	A	A	X	X	M	A	X	A	X	M	S	M	M	A	M	M	M	M	A	X	A	A	M	X	A	X	X	X	S	A	M	X	S	M	S	M	M	M	M	M	A	M	M	M	M	A	M	M	M	X	M	X	M	A	S	M	S	A	M	A	X	M	A	M	A	S	A	S	M	M	M	M	A	A	A	X	M	A	S	X	X	X	A	X	M	A	X	A	M	M	A	S	M	X	X	X	A	M	X	A	M	M	M	M	M	M	M
83	M	M	M	X	S	A	S	X	S	S	X	M	M	M	S	M	X	M	M	A	S	X	M	A	M	M	X	S	A	M	A	M	M	M	M	A	M	X	M	M	M	M	A	X	X	S	A	M	A	A	S	A	M	X	S	X	S	A	M	S	X	M	X	S	A	A	X	X	X	A	A	M	X	M	S	M	M	X	X	X	A	X	X	M	X	S	M	S	A	S	A	M	M	X	M	A	X	M	A	A	A	X	A	X	X	S	S	S	X	S	A	M	X	M	M	S	M	S	M	M	S	X	X	A	M	M	X	X	M	M	M	M	M	S	A	S	M	S	M	S
84	M	A	S	M	M	A	S	A	M	X	X	M	A	A	A	X	M	M	M	A	M	A	M	X	M	M	X	S	M	M	A	X	M	S	S	X	A	A	X	A	X	M	X	S	A	S	A	S	M	X	M	A	M	M	X	A	S	X	M	X	A	A	A	M	M	M	M	S	S	S	M	S	A	S	A	M	X	A	M	M	X	S	X	M	A	M	X	M	A	M	M	X	X	A	S	M	S	S	M	M	M	S	X	M	M	A	A	X	M	A	X	S	A	A	A	M	A	X	X	S	X	A	X	S	A	M	X	M	M	A	S	X	M	M	A	X	A	A	A	A
85	S	A	S	A	M	A	M	A	M	A	S	M	M	S	S	X	S	A	M	S	S	M	S	X	M	S	A	M	X	S	M	S	X	A	A	A	X	M	S	X	X	S	A	M	X	M	X	A	X	X	S	X	M	A	M	X	M	A	S	M	M	M	M	M	A	X	M	A	X	M	A	S	M	S	X	S	M	A	S	X	A	A	A	M	A	S	A	M	M	M	M	M	M	X	X	M	A	M	X	A	X	A	M	S	A	M	X	M	A	S	M	M	A	M	S	M	A	M	X	X	M	X	M	M	A	M	X	M	S	A	S	A	S	M	S	M	S	M	M	M
86	M	A	S	X	M	A	S	A	M	X	S	X	A	M	A	A	S	M	M	M	A	X	A	A	X	M	A	S	A	A	A	S	M	M	S	M	A	M	A	M	X	M	M	S	A	M	A	S	M	M	A	A	X	S	M	M	S	A	M	A	X	X	M	S	S	S	X	M	S	M	X	M	M	X	A	X	M	A	A	M	X	M	X	M	A	X	M	M	S	A	X	A	A	M	S	M	M	M	M	A	S	M	A	M	S	X	M	S	X	X	X	X	A	M	X	M	A	X	S	A	S	X	S	S	X	M	A	X	M	M	S	A	M	X	X	A	X	X	A	S
87	M	A	M	A	M	A	X	A	A	X	S	M	S	S	M	M	M	M	S	S	M	M	M	M	M	M	A	S	X	M	M	M	A	X	A	X	X	M	X	S	A	A	A	S	A	S	A	A	A	M	A	X	M	A	A	A	M	A	S	A	M	A	A	A	A	A	M	X	A	M	A	S	M	M	M	X	M	M	S	M	A	M	M	M	X	M	S	A	S	M	S	A	X	A	A	M	X	X	M	A	S	X	A	X	A	S	A	M	X	M	M	S	M	S	X	X	A	X	S	A	M	A	M	A	M	S	S	S	M	A	M	X	M	M	M	S	M	X	M	X
88	S	M	S	S	M	M	S	X	M	A	S	M	M	A	X	X	A	A	M	A	A	A	X	X	S	M	M	M	A	S	M	S	S	S	S	S	S	M	A	M	M	M	M	S	A	M	M	X	X	M	A	S	M	M	M	S	M	X	M	X	A	S	M	M	S	M	A	S	A	S	A	S	X	A	S	A	M	X	A	M	A	S	A	M	A	A	M	A	X	A	X	A	X	S	A	S	M	M	M	A	S	M	M	X	M	S	M	M	M	M	A	A	A	M	A	M	S	X	M	A	M	M	M	A	M	A	A	A	M	M	X	A	X	X	A	M	M	A	S	M
89	A	A	A	M	A	X	A	A	X	X	S	A	S	X	M	S	M	M	S	M	S	X	S	A	X	A	X	S	A	M	M	X	A	A	M	A	A	M	X	S	A	M	X	M	M	X	M	S	X	M	A	A	M	S	X	X	X	X	A	M	M	M	A	M	X	X	X	S	X	M	A	S	M	M	M	M	S	S	M	S	X	S	A	S	M	S	M	S	M	M	M	M	M	M	A	A	X	A	M	M	S	A	S	M	X	S	A	S	X	M	S	S	S	M	S	M	M	A	S	A	M	A	S	X	S	M	X	A	M	X	M	S	M	M	A	X	S	A	M	A
90	M	M	M	S	M	M	S	X	M	A	S	A	M	X	M	A	S	X	M	X	M	X	M	M	S	M	M	M	X	X	A	M	M	M	M	S	M	M	M	M	A	M	X	M	S	A	A	S	X	M	M	M	A	M	A	M	M	M	M	M	A	X	A	M	X	X	A	M	M	M	X	M	X	S	A	A	A	A	A	A	A	S	A	X	A	A	A	A	X	X	X	X	X	M	X	X	M	M	S	X	S	A	M	X	A	M	A	A	X	A	A	A	A	A	X	A	M	A	M	X	S	X	S	M	X	X	M	S	X	M	A	M	M	S	M	M	M	S	S	M
91	X	M	M	S	M	A	M	M	M	X	M	X	M	M	M	S	X	X	X	A	X	M	A	A	A	A	M	M	S	A	M	X	A	A	A	M	A	S	X	S	A	M	X	A	M	M	X	M	A	X	M	S	M	M	A	M	A	A	X	M	A	S	M	M	M	S	S	M	A	S	X	M	A	S	M	M	S	S	M	M	X	M	M	M	S	M	S	M	S	X	M	M	M	S	M	M	M	A	S	A	M	X	M	M	X	M	A	M	M	M	M	S	M	M	M	M	M	S	M	M	S	X	M	X	S	X	M	M	A	S	M	M	A	X	A	S	A	M	X	X
92	X	S	A	S	M	X	S	A	S	M	M	M	M	S	X	M	X	S	M	M	S	A	X	S	M	S	M	A	M	A	X	X	X	M	X	S	A	M	A	M	A	X	M	A	X	M	A	S	X	M	M	A	X	X	S	S	S	M	S	A	M	X	X	A	A	A	A	S	A	S	X	M	A	S	A	M	M	A	A	X	M	X	M	A	M	A	X	X	M	M	A	X	A	A	A	M	M	X	S	A	M	S	X	M	S	X	S	X	S	A	A	A	A	X	S	X	A	M	A	M	X	A	M	A	X	S	A	S	M	M	M	M	S	S	M	M	S	S	M	X
93	X	M	A	S	X	A	M	X	M	A	A	A	A	S	A	M	A	X	A	A	A	X	M	X	M	M	M	M	M	S	M	M	X	X	A	M	X	M	X	M	A	X	S	S	M	S	A	S	A	M	S	S	S	X	X	A	A	A	X	A	A	M	S	M	M	S	M	M	X	S	X	X	A	S	M	M	M	X	M	M	A	A	M	X	M	X	M	X	S	A	S	M	S	S	S	M	X	M	S	A	M	X	A	A	A	A	A	X	S	M	S	S	M	M	S	M	X	M	A	M	S	S	M	A	S	M	X	X	A	A	X	S	A	A	A	M	A	M	A	M
94	M	M	M	M	M	M	S	X	M	X	M	M	X	X	A	M	A	S	M	M	M	S	M	M	M	M	A	A	X	M	A	M	X	S	S	S	M	M	A	M	X	X	M	A	A	M	X	M	A	M	A	A	M	M	M	M	M	M	S	X	M	A	A	X	A	A	A	A	X	M	M	M	M	M	A	A	M	A	S	M	S	S	S	S	M	X	S	A	M	X	X	A	X	M	A	M	M	A	M	A	M	X	M	M	M	X	M	M	S	M	M	M	M	S	X	M	M	S	X	M	X	A	M	X	M	X	M	S	S	M	M	M	X	S	M	M	A	S	X	X
